quartiere,prezzo,datetime,posti auto,bagni per stanza,bagni,stanze,ultimo piano,stato,classe energetica,vista mare,riscaldamento centralizzato,superficie,arredato,balcone,impianto tv,esposizione esterna,fibra ottica,cancello elettrico,cantina,giardino comune,giardino privato,impianto allarme,portiere,piscina,villa,intera proprieta,appartamento,attico,loft,mansarda
Acilia,400.0,2023-03-16,0,1.0,1.0,1.0,0,ottimo / ristrutturato,G,0.0,0.0,20.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,400.0,2023-03-16,0,1.0,1.0,1.0,0,ottimo / ristrutturato,B,0.0,0.0,20.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,400.0,2023-03-15,0,1.0,1.0,1.0,0,ottimo / ristrutturato,E,0.0,0.0,20.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Acilia,400.0,2023-03-16,0,1.0,1.0,1.0,0,ottimo / ristrutturato,D,0.0,0.0,25.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,600.0,2023-03-16,1,0.5,1.0,2.0,0,ottimo / ristrutturato,B,0.0,0.0,50.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Acilia,400.0,2023-03-16,0,1.0,1.0,1.0,0,ottimo / ristrutturato,A,0.0,0.0,20.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,850.0,2023-03-21,0,0.6666666666666666,2.0,3.0,0,buono / abitabile,G,0.0,0.0,105.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Acilia,750.0,2023-09-03,1,0.5,1.0,2.0,0,buono / abitabile,F,0.0,0.0,70.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Acilia,700.0,2023-01-03,1,0.5,1.0,2.0,0,buono / abitabile,F,0.0,0.0,50.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Acilia,850.0,2023-02-14,0,0.5,2.0,4.0,0,buono / abitabile,F,0.0,0.0,100.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,400.0,2023-07-04,0,1.0,1.0,1.0,0,ottimo / ristrutturato,G,0.0,0.0,20.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,400.0,2023-08-04,0,1.0,1.0,1.0,0,ottimo / ristrutturato,B,0.0,0.0,20.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Acilia,1300.0,2023-06-03,1,0.5,2.0,4.0,0,ottimo / ristrutturato,B,0.0,0.0,127.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
